Flow_ID,Node_ID,Protocol,Distance_m,RSRP_dBm,SINR_dB,Dur,RunTime,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,sMeanPktSz,dMeanPktSz,Rate,SrcRate,DstRate,Load,sTtl,dTtl,SrcWin,DstWin,TcpRtt,SynAck,AckDat,Offset,Loss,pLoss,Attack_Type,Attack_Tool,Label,Label_Binary
4283,UE_9,tcp,409.2,-54.74,39.47,0.0015,0.0015,1,1,0,44,44,0,44,0,666.67,666.67,0,234666.67,48,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
3266,UE_7,tcp,413,-61.38,34.01,0.0309,0.0309,273,273,0,10920,10920,0,40,0,8834.95,8834.95,0,2827184.47,128,0,1024,0,0,0,0,0,273,100,SYNFlood,Hping3,Malicious,1
1985,UE_4,udp,116.4,-40.42,52.02,0.122,0.122,6,4,2,452,347,105,86.8,52.4,49.18,32.79,16.39,29639.34,64,64,0,0,0,0,0,391,1,0.05,Benign,None,Benign,0
1673,UE_4,udp,116.4,-40.81,52.77,0.071,0.071,6,4,2,425,301,124,75.3,62.2,84.51,56.34,28.17,47887.32,64,64,0,0,0,0,0,499,0,0,Benign,None,Benign,0
2558,UE_6,tcp,321,-50.78,40.04,1.044,1.044,59,34,25,28611,11951,16660,351.5,666.4,56.51,32.57,23.95,219241.38,64,64,65535,65535,0.0282,0.0141,0.0141,214,0,0,Benign,None,Benign,0
1001,UE_3,udp,127.5,-41.14,52.72,2.519,2.519,296,149,147,49265,24451,24814,164.1,168.8,117.51,59.15,58.36,156458.91,64,64,0,0,0,0,0,438,0,0,Benign,None,Benign,0
2536,UE_6,tcp,321,-51.83,40.63,1.992,1.992,87,39,48,47788,17414,30374,446.5,632.8,43.67,19.58,24.1,191919.68,64,64,65535,65535,0.0217,0.0109,0.0109,333,1,0.05,Benign,None,Benign,0
1138,UE_3,udp,127.5,-41.7,50.27,3.324,3.324,297,146,151,51610,25638,25972,175.6,172,89.35,43.92,45.43,124211.79,64,64,0,0,0,0,0,169,0,0,Benign,None,Benign,0
1990,UE_4,udp,116.4,-40.77,51.41,0.237,0.237,4,2,2,257,141,116,70.6,57.9,16.88,8.44,8.44,8675.11,64,64,0,0,0,0,0,473,0,0,Benign,None,Benign,0
1629,UE_4,udp,116.4,-40.11,52.15,0.062,0.062,2,1,1,140,79,61,78.6,61.2,32.26,16.13,16.13,18064.52,64,64,0,0,0,0,0,427,0,0,Benign,None,Benign,0
3998,UE_8,udp,403.8,-51.81,40.36,0.418,0.418,702,702,0,556335,556335,0,792.5,0,1679.43,1679.43,0,10647559.81,64,0,0,0,0,0,0,0,562,80,UDPFlood,Hping3,Malicious,1
204,UE_1,tcp,146.1,-43.99,48.17,1.305,1.305,42,16,26,33566,2928,30638,183,1178.4,32.18,12.26,19.92,205768.58,64,64,65535,65535,0.0306,0.0153,0.0153,148,1,0.05,Benign,None,Benign,0
4508,UE_10,tcp,440.7,-54.35,39.66,30.02,30.02,31,20,11,1016,576,440,28.8,40,1.03,0.67,0.37,270.75,64,64,512,16384,0.0864,0.0518,0.0346,128,0,0,SlowrateDoS,Slowloris,Malicious,1
186,UE_1,tcp,146.1,-44.25,48.92,1.14,1.14,42,22,20,27107,3843,23264,174.7,1163.2,36.84,19.3,17.54,190224.56,64,64,65535,65535,0.0448,0.0224,0.0224,372,1,0.05,Benign,None,Benign,0
3144,UE_7,tcp,413,-59.09,33.28,0.0244,0.0244,370,370,0,14800,14800,0,40,0,15163.93,15163.93,0,4852459.02,128,0,1024,0,0,0,0,0,370,100,SYNFlood,Hping3,Malicious,1
3648,UE_8,udp,403.8,-52,39.75,0.547,0.547,798,798,0,679178,679178,0,851.1,0,1458.87,1458.87,0,9933133.46,64,0,0,0,0,0,0,0,638,80,UDPFlood,Hping3,Malicious,1
645,UE_2,tcp,235.5,-53.44,40.78,8.244,8.244,214,40,174,213212,3960,209252,99,1202.6,25.96,4.85,21.11,206901.5,64,64,131072,131072,0.0117,0.0059,0.0059,137,0,0,Benign,None,Benign,0
3688,UE_8,udp,403.8,-52.3,40.8,0.517,0.517,943,943,0,898868,898868,0,953.2,0,1823.98,1823.98,0,13908982.59,64,0,0,0,0,0,0,0,754,80,UDPFlood,Hping3,Malicious,1
831,UE_2,tcp,235.5,-52.61,40.99,8.319,8.319,245,61,184,246966,5264,241702,86.3,1313.6,29.45,7.33,22.12,237495.85,64,64,131072,131072,0.0179,0.009,0.009,421,0,0,Benign,None,Benign,0
3133,UE_7,tcp,413,-59.76,34.38,0.0543,0.0543,332,332,0,13280,13280,0,40,0,6114.18,6114.18,0,1956537.75,128,0,1024,0,0,0,0,0,332,100,SYNFlood,Hping3,Malicious,1
4475,UE_9,tcp,409.2,-55.63,38.93,0.0035,0.0035,1,1,0,44,44,0,44,0,285.71,285.71,0,100571.43,54,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
1747,UE_4,udp,116.4,-40.38,52.64,0.091,0.091,3,1,2,182,67,115,66.5,57.4,32.97,10.99,21.98,16000,64,64,0,0,0,0,0,207,0,0,Benign,None,Benign,0
4149,UE_9,tcp,409.2,-55.2,39.23,0.0041,0.0041,1,1,0,44,44,0,44,0,243.9,243.9,0,85853.66,53,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
1765,UE_4,udp,116.4,-40.13,52.07,0.109,0.109,2,1,1,135,73,62,73,62.2,18.35,9.17,9.17,9908.26,64,64,0,0,0,0,0,495,1,0.05,Benign,None,Benign,0
2517,UE_6,tcp,321,-51.62,40.92,2.418,2.418,58,16,42,23688,5120,18568,320,442.1,23.99,6.62,17.37,78372.21,64,64,65535,65535,0.024,0.012,0.012,186,0,0,Benign,None,Benign,0
3385,UE_7,tcp,413,-59.26,34,0.1001,0.1001,608,608,0,24320,24320,0,40,0,6073.93,6073.93,0,1943656.34,128,0,1024,0,0,0,0,0,608,100,SYNFlood,Hping3,Malicious,1
529,UE_2,tcp,235.5,-53.52,41.07,5.517,5.517,283,56,227,282721,5191,277530,92.7,1222.6,51.3,10.15,41.15,409963.39,64,64,131072,131072,0.0161,0.0081,0.0081,159,0,0,Benign,None,Benign,0
2519,UE_6,tcp,321,-52.06,40.5,1.846,1.846,68,27,41,34773,12096,22677,448,553.1,36.84,14.63,22.21,150695.56,64,64,65535,65535,0.0442,0.0221,0.0221,382,0,0,Benign,None,Benign,0
752,UE_2,tcp,235.5,-53.21,41.25,6.646,6.646,491,66,425,591389,7141,584248,108.2,1374.7,73.88,9.93,63.95,711873.61,64,64,131072,131072,0.0179,0.009,0.009,131,0,0,Benign,None,Benign,0
692,UE_2,tcp,235.5,-52.74,41.13,6.373,6.373,427,52,375,531069,5881,525188,113.1,1400.5,67,8.16,58.84,666648.67,64,64,131072,131072,0.0108,0.0054,0.0054,151,0,0,Benign,None,Benign,0
1090,UE_3,udp,127.5,-41.19,51,1.501,1.501,287,144,143,47251,23270,23981,161.6,167.7,191.21,95.94,95.27,251837.44,64,64,0,0,0,0,0,301,0,0,Benign,None,Benign,0
2680,UE_6,tcp,321,-50.91,39.41,1.203,1.203,81,31,50,45893,11513,34380,371.4,687.6,67.33,25.77,41.56,305190.36,64,64,65535,65535,0.021,0.0105,0.0105,156,0,0,Benign,None,Benign,0
2625,UE_6,tcp,321,-51.1,40.07,3.167,3.167,81,40,41,34983,17308,17675,432.7,431.1,25.58,12.63,12.95,88368.8,64,64,65535,65535,0.0268,0.0134,0.0134,489,1,0.05,Benign,None,Benign,0
787,UE_2,tcp,235.5,-53.04,41.5,8.908,8.908,269,69,200,287790,7790,280000,112.9,1400,30.2,7.75,22.45,258455.32,64,64,131072,131072,0.0219,0.011,0.011,228,1,0.05,Benign,None,Benign,0
887,UE_2,tcp,235.5,-53.2,40.99,2.988,2.988,347,79,268,340565,7039,333526,89.1,1244.5,116.13,26.44,89.69,911820.62,64,64,131072,131072,0.0234,0.0117,0.0117,356,0,0,Benign,None,Benign,0
1249,UE_3,udp,127.5,-42.36,50.96,3.098,3.098,133,69,64,23169,12379,10790,179.4,168.6,42.93,22.27,20.66,59829.57,64,64,0,0,0,0,0,391,0,0,Benign,None,Benign,0
1341,UE_3,udp,127.5,-42.79,50.59,4.054,4.054,247,122,125,40280,20167,20113,165.3,160.9,60.93,30.09,30.83,79486.93,64,64,0,0,0,0,0,407,1,0.05,Benign,None,Benign,0
1904,UE_4,udp,116.4,-40.5,51.39,0.169,0.169,3,2,1,187,134,53,67.1,52.6,17.75,11.83,5.92,8852.07,64,64,0,0,0,0,0,184,0,0,Benign,None,Benign,0
2161,UE_5,tcp,309,-52.68,39.96,5.237,5.237,749,84,665,976276,5376,970900,64,1460,143.02,16.04,126.98,1491351.54,64,64,262144,262144,0.0195,0.0098,0.0098,399,0,0,Benign,None,Benign,0
4033,UE_9,tcp,409.2,-54.96,39.3,0.0017,0.0017,1,1,0,44,44,0,44,0,588.24,588.24,0,207058.82,49,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
2186,UE_5,tcp,309,-52.71,40.17,12.051,12.051,617,78,539,791932,4992,786940,64,1460,51.2,6.47,44.73,525720.36,64,64,262144,262144,0.0138,0.0069,0.0069,268,0,0,Benign,None,Benign,0
2873,UE_6,tcp,321,-52.45,39.86,2.425,2.425,58,34,24,25855,11798,14057,347,585.7,23.92,14.02,9.9,85294.85,64,64,65535,65535,0.0204,0.0102,0.0102,375,0,0,Benign,None,Benign,0
3788,UE_8,udp,403.8,-52.34,40.85,0.279,0.279,540,540,0,397872,397872,0,736.8,0,1935.48,1935.48,0,11408516.13,64,0,0,0,0,0,0,0,432,80,UDPFlood,Hping3,Malicious,1
561,UE_2,tcp,235.5,-52.27,41.25,7.402,7.402,296,40,256,319253,3400,315853,85,1233.8,39.99,5.4,34.59,345045.12,64,64,131072,131072,0.0235,0.0118,0.0118,351,1,0.05,Benign,None,Benign,0
660,UE_2,tcp,235.5,-52.07,41.47,4.565,4.565,261,39,222,284668,3771,280897,96.7,1265.3,57.17,8.54,48.63,498870.54,64,64,131072,131072,0.0164,0.0082,0.0082,162,1,0.05,Benign,None,Benign,0
2371,UE_5,tcp,309,-53.55,40.06,3.63,3.63,763,71,692,1014864,4544,1010320,64,1460,210.19,19.56,190.63,2236614.88,64,64,262144,262144,0.0146,0.0073,0.0073,159,0,0,Benign,None,Benign,0
2155,UE_5,tcp,309,-53.12,39.62,6.237,6.237,480,100,380,561200,6400,554800,64,1460,76.96,16.03,60.93,719833.25,64,64,262144,262144,0.0234,0.0117,0.0117,506,0,0,Benign,None,Benign,0
237,UE_1,tcp,146.1,-44.59,49.11,0.602,0.602,72,26,46,43238,4787,38451,184.1,835.9,119.6,43.19,76.41,574591.36,64,64,65535,65535,0.0273,0.0137,0.0137,261,0,0,Benign,None,Benign,0
2251,UE_5,tcp,309,-53.75,40.51,3.205,3.205,434,87,347,512188,5568,506620,64,1460,135.41,27.15,108.27,1278472.39,64,64,262144,262144,0.0141,0.0071,0.0071,364,0,0,Benign,None,Benign,0
267,UE_1,tcp,146.1,-44.66,48.61,4.404,4.404,33,13,20,27023,2951,24072,227,1203.6,7.49,2.95,4.54,49088.1,64,64,65535,65535,0.0186,0.0093,0.0093,425,0,0,Benign,None,Benign,0
1378,UE_3,udp,127.5,-42.08,51.99,4.084,4.084,121,59,62,21185,10608,10577,179.8,170.6,29.63,14.45,15.18,41498.53,64,64,0,0,0,0,0,395,0,0,Benign,None,Benign,0
85,UE_1,tcp,146.1,-44.48,48.15,1.228,1.228,90,32,58,60247,5994,54253,187.3,935.4,73.29,26.06,47.23,392488.6,64,64,65535,65535,0.0343,0.0172,0.0172,343,0,0,Benign,None,Benign,0
2270,UE_5,tcp,309,-53.26,39.71,6.104,6.104,473,60,413,606820,3840,602980,64,1460,77.49,9.83,67.66,795307.99,64,64,262144,262144,0.0241,0.0121,0.0121,226,1,0.05,Benign,None,Benign,0
456,UE_1,tcp,146.1,-44.56,48.23,1.429,1.429,51,20,31,40341,3398,36943,169.9,1191.7,35.69,14,21.69,225841.85,64,64,65535,65535,0.0423,0.0212,0.0212,376,1,0.05,Benign,None,Benign,0
1829,UE_4,udp,116.4,-39.69,52.47,0.068,0.068,5,3,2,381,256,125,85.2,62.4,73.53,44.12,29.41,44823.53,64,64,0,0,0,0,0,365,0,0,Benign,None,Benign,0
200,UE_1,tcp,146.1,-43.8,47.3,3.423,3.423,65,35,30,34509,7539,26970,215.4,899,18.99,10.22,8.76,80652.06,64,64,65535,65535,0.032,0.016,0.016,289,0,0,Benign,None,Benign,0
4570,UE_10,tcp,440.7,-53.82,39.45,63.18,63.18,21,10,11,725,285,440,28.5,40,0.33,0.16,0.17,91.8,64,64,512,16384,0.1168,0.0701,0.0467,128,0,0,SlowrateDoS,Slowloris,Malicious,1
2538,UE_6,tcp,321,-51.43,39.9,3.051,3.051,75,29,46,33754,14080,19674,485.5,427.7,24.58,9.51,15.08,88506.06,64,64,65535,65535,0.0224,0.0112,0.0112,220,0,0,Benign,None,Benign,0
316,UE_1,tcp,146.1,-43.6,48.95,4.311,4.311,52,18,34,46811,3611,43200,200.6,1270.6,12.06,4.18,7.89,86868.01,64,64,65535,65535,0.0413,0.0207,0.0207,246,1,0.05,Benign,None,Benign,0
2280,UE_5,tcp,309,-52.75,39.99,11.401,11.401,391,44,347,509436,2816,506620,64,1460,34.3,3.86,30.44,357467.59,64,64,262144,262144,0.0203,0.0102,0.0102,241,0,0,Benign,None,Benign,0
753,UE_2,tcp,235.5,-53.46,41.01,7.845,7.845,228,56,172,248876,4911,243965,87.7,1418.4,29.06,7.14,21.92,253793.24,64,64,131072,131072,0.0245,0.0123,0.0123,387,0,0,Benign,None,Benign,0
4013,UE_9,tcp,409.2,-54.63,38.3,0.0056,0.0056,1,1,0,44,44,0,44,0,178.57,178.57,0,62857.14,58,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
3286,UE_7,tcp,413,-60.06,33.9,0.0593,0.0593,487,487,0,19480,19480,0,40,0,8212.48,8212.48,0,2627993.25,128,0,1024,0,0,0,0,0,487,100,SYNFlood,Hping3,Malicious,1
4426,UE_9,tcp,409.2,-55.6,38.15,0.0017,0.0017,2,1,1,84,44,40,44,40,1176.47,588.24,588.24,395294.12,56,55,1024,0,0.0109,0,0,0,0,0,SYNScan,Nmap,Malicious,1
4436,UE_9,tcp,409.2,-56,37.53,0.0011,0.0011,1,1,0,44,44,0,44,0,909.09,909.09,0,320000,50,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
4336,UE_9,tcp,409.2,-54.77,39.16,0.0052,0.0052,1,1,0,44,44,0,44,0,192.31,192.31,0,67692.31,45,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
4785,UE_10,tcp,440.7,-54.19,38.91,25.94,25.94,21,14,7,711,431,280,30.8,40,0.81,0.54,0.27,219.28,64,64,512,16384,0.1113,0.0668,0.0445,128,0,0,SlowrateDoS,Slowloris,Malicious,1
3822,UE_8,udp,403.8,-52.32,41.32,0.24,0.24,1816,1816,0,1094322,1094322,0,602.6,0,7566.67,7566.67,0,36477400,64,0,0,0,0,0,0,0,1453,80,UDPFlood,Hping3,Malicious,1
2806,UE_6,tcp,321,-51.59,39.22,1.918,1.918,68,34,34,36339,14351,21988,422.1,646.7,35.45,17.73,17.73,151570.39,64,64,65535,65535,0.0245,0.0123,0.0123,325,1,0.05,Benign,None,Benign,0
951,UE_2,tcp,235.5,-52.54,41.35,2.492,2.492,296,32,264,369081,2992,366089,93.5,1386.7,118.78,12.84,105.94,1184850.72,64,64,131072,131072,0.0249,0.0125,0.0125,282,0,0,Benign,None,Benign,0
1205,UE_3,udp,127.5,-42.74,51.94,5.37,5.37,297,150,147,52466,26520,25946,176.8,176.5,55.31,27.93,27.37,78161.64,64,64,0,0,0,0,0,480,1,0.05,Benign,None,Benign,0
109,UE_1,tcp,146.1,-44.55,48.69,3.763,3.763,44,15,29,34855,3056,31799,203.7,1096.5,11.69,3.99,7.71,74100.45,64,64,65535,65535,0.0324,0.0162,0.0162,395,0,0,Benign,None,Benign,0
3052,UE_7,tcp,413,-58.81,33.92,0.0106,0.0106,679,679,0,27160,27160,0,40,0,64056.6,64056.6,0,20498113.21,128,0,1024,0,0,0,0,0,679,100,SYNFlood,Hping3,Malicious,1
1671,UE_4,udp,116.4,-40.55,52.21,0.126,0.126,5,4,1,415,352,63,87.9,62.9,39.68,31.75,7.94,26349.21,64,64,0,0,0,0,0,331,1,0.05,Benign,None,Benign,0
2347,UE_5,tcp,309,-53.27,40.66,11.178,11.178,763,43,720,1053952,2752,1051200,64,1460,68.26,3.85,64.41,754304.53,64,64,262144,262144,0.0186,0.0093,0.0093,353,0,0,Benign,None,Benign,0
1389,UE_3,udp,127.5,-42.08,51.85,1.666,1.666,143,70,73,23322,11613,11709,165.9,160.4,85.83,42.02,43.82,111990.4,64,64,0,0,0,0,0,386,0,0,Benign,None,Benign,0
1750,UE_4,udp,116.4,-40.05,52.47,0.125,0.125,5,4,1,409,346,63,86.4,63.3,40,32,8,26176,64,64,0,0,0,0,0,383,0,0,Benign,None,Benign,0
613,UE_2,tcp,235.5,-52.52,41.11,4.551,4.551,273,60,213,314401,5082,309319,84.7,1452.2,59.99,13.18,46.8,552671.5,64,64,131072,131072,0.0104,0.0052,0.0052,193,0,0,Benign,None,Benign,0
4359,UE_9,tcp,409.2,-55.14,38.66,0.0038,0.0038,1,1,0,44,44,0,44,0,263.16,263.16,0,92631.58,50,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
4942,UE_10,tcp,440.7,-54.38,39.46,53.57,53.57,23,12,11,728,288,440,24,40,0.43,0.22,0.21,108.72,64,64,512,16384,0.1692,0.1015,0.0677,128,0,0,SlowrateDoS,Slowloris,Malicious,1
269,UE_1,tcp,146.1,-43.24,48.95,3.633,3.633,68,30,38,41851,5694,36157,189.8,951.5,18.72,8.26,10.46,92157.45,64,64,65535,65535,0.017,0.0085,0.0085,137,1,0.05,Benign,None,Benign,0
4265,UE_9,tcp,409.2,-55.48,39.07,0.0039,0.0039,1,1,0,44,44,0,44,0,256.41,256.41,0,90256.41,49,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
1511,UE_4,udp,116.4,-40.41,51.3,0.208,0.208,2,1,1,151,88,63,88.4,63.3,9.62,4.81,4.81,5807.69,64,64,0,0,0,0,0,403,0,0,Benign,None,Benign,0
3884,UE_8,udp,403.8,-52.07,40.77,0.192,0.192,747,747,0,568243,568243,0,760.7,0,3890.63,3890.63,0,23676791.67,64,0,0,0,0,0,0,0,598,80,UDPFlood,Hping3,Malicious,1
1460,UE_3,udp,127.5,-42.59,51.19,3.208,3.208,204,102,102,34803,17422,17381,170.8,170.4,63.59,31.8,31.8,86790.52,64,64,0,0,0,0,0,398,1,0.05,Benign,None,Benign,0
4746,UE_10,tcp,440.7,-53.69,39.45,42.19,42.19,24,18,6,836,596,240,33.1,40,0.57,0.43,0.14,158.52,64,64,512,16384,0.0912,0.0547,0.0365,128,0,0,SlowrateDoS,Slowloris,Malicious,1
2956,UE_6,tcp,321,-52.23,40.23,2.416,2.416,58,34,24,26392,12573,13819,369.8,575.8,24.01,14.07,9.93,87390.73,64,64,65535,65535,0.0235,0.0118,0.0118,338,0,0,Benign,None,Benign,0
174,UE_1,tcp,146.1,-44.83,48.39,0.892,0.892,48,22,26,34401,4015,30386,182.5,1168.7,53.81,24.66,29.15,308529.15,64,64,65535,65535,0.0293,0.0147,0.0147,302,1,0.05,Benign,None,Benign,0
3496,UE_7,tcp,413,-60.11,33.65,0.0939,0.0939,355,355,0,14200,14200,0,40,0,3780.62,3780.62,0,1209797.66,128,0,1024,0,0,0,0,0,355,100,SYNFlood,Hping3,Malicious,1
2939,UE_6,tcp,321,-50.66,39.5,2.596,2.596,71,37,34,28876,14970,13906,404.6,409,27.35,14.25,13.1,88986.13,64,64,65535,65535,0.0276,0.0138,0.0138,274,0,0,Benign,None,Benign,0
2390,UE_5,tcp,309,-53.3,39.15,4.071,4.071,896,86,810,1188104,5504,1182600,64,1460,220.09,21.13,198.97,2334765.91,64,64,262144,262144,0.0208,0.0104,0.0104,430,0,0,Benign,None,Benign,0
4661,UE_10,tcp,440.7,-54.46,39.75,32.87,32.87,16,8,8,553,233,320,29.1,40,0.49,0.24,0.24,134.59,64,64,512,16384,0.0865,0.0519,0.0346,128,0,0,SlowrateDoS,Slowloris,Malicious,1
593,UE_2,tcp,235.5,-53.01,41.87,9.618,9.618,227,32,195,266440,3248,263192,101.5,1349.7,23.6,3.33,20.27,221617.8,64,64,131072,131072,0.0229,0.0115,0.0115,455,0,0,Benign,None,Benign,0
190,UE_1,tcp,146.1,-44.2,48.16,2.853,2.853,68,22,46,53583,3443,50140,156.5,1090,23.83,7.71,16.12,150250.26,64,64,65535,65535,0.0318,0.0159,0.0159,433,0,0,Benign,None,Benign,0
179,UE_1,tcp,146.1,-44.03,48.47,0.829,0.829,67,35,32,43536,7942,35594,226.9,1112.3,80.82,42.22,38.6,420130.28,64,64,65535,65535,0.0265,0.0133,0.0133,230,0,0,Benign,None,Benign,0
4788,UE_10,tcp,440.7,-53.56,39.41,60.19,60.19,23,13,10,772,372,400,28.6,40,0.38,0.22,0.17,102.61,64,64,512,16384,0.2168,0.1301,0.0867,128,0,0,SlowrateDoS,Slowloris,Malicious,1
4620,UE_10,tcp,440.7,-54.53,39.47,37.58,37.58,22,10,12,866,386,480,38.6,40,0.59,0.27,0.32,184.35,64,64,512,16384,0.1469,0.0881,0.0588,128,0,0,SlowrateDoS,Slowloris,Malicious,1
4892,UE_10,tcp,440.7,-53.58,39.6,58.22,58.22,20,14,6,731,491,240,35.1,40,0.34,0.24,0.1,100.45,64,64,512,16384,0.2185,0.1311,0.0874,128,0,0,SlowrateDoS,Slowloris,Malicious,1
4971,UE_10,tcp,440.7,-53.79,39.85,26.55,26.55,24,15,9,791,431,360,28.7,40,0.9,0.56,0.34,238.34,64,64,512,16384,0.2289,0.1373,0.0916,128,0,0,SlowrateDoS,Slowloris,Malicious,1
347,UE_1,tcp,146.1,-44.91,48.55,4.089,4.089,85,26,59,77307,5109,72198,196.5,1223.7,20.79,6.36,14.43,151248.72,64,64,65535,65535,0.0169,0.0085,0.0085,511,0,0,Benign,None,Benign,0
1292,UE_3,udp,127.5,-42.5,51.35,5.385,5.385,139,68,71,23328,11499,11829,169.1,166.6,25.81,12.63,13.18,34656.27,64,64,0,0,0,0,0,405,0,0,Benign,None,Benign,0
3754,UE_8,udp,403.8,-52.43,39.67,0.39,0.39,1921,1921,0,1648026,1648026,0,857.9,0,4925.64,4925.64,0,33805661.54,64,0,0,0,0,0,0,0,1537,80,UDPFlood,Hping3,Malicious,1
678,UE_2,tcp,235.5,-51.53,40.41,9.233,9.233,297,37,260,326642,3878,322764,104.8,1241.4,32.17,4.01,28.16,283021.34,64,64,131072,131072,0.0294,0.0147,0.0147,324,1,0.05,Benign,None,Benign,0
2500,UE_5,tcp,309,-52.35,39.58,6.932,6.932,906,70,836,1225040,4480,1220560,64,1460,130.7,10.1,120.6,1413779.57,64,64,262144,262144,0.025,0.0125,0.0125,474,0,0,Benign,None,Benign,0
1815,UE_4,udp,116.4,-40.19,50.65,0.131,0.131,4,3,1,339,282,57,93.9,56.6,30.53,22.9,7.63,20702.29,64,64,0,0,0,0,0,159,0,0,Benign,None,Benign,0
294,UE_1,tcp,146.1,-43.66,48.3,3.645,3.645,64,29,35,47106,4423,42683,152.5,1219.5,17.56,7.96,9.6,103387.65,64,64,65535,65535,0.0153,0.0077,0.0077,274,0,0,Benign,None,Benign,0
3876,UE_8,udp,403.8,-52.37,40.1,0.119,0.119,1677,1677,0,1600864,1600864,0,954.6,0,14092.44,14092.44,0,107621109.24,64,0,0,0,0,0,0,0,1342,80,UDPFlood,Hping3,Malicious,1
920,UE_2,tcp,235.5,-51.94,40.61,8.199,8.199,322,36,286,397919,3611,394308,100.3,1378.7,39.27,4.39,34.88,388261.01,64,64,131072,131072,0.0227,0.0114,0.0114,221,0,0,Benign,None,Benign,0
198,UE_1,tcp,146.1,-43.53,47.53,2.299,2.299,52,30,22,23934,5964,17970,198.8,816.8,22.62,13.05,9.57,83284.91,64,64,65535,65535,0.0169,0.0085,0.0085,232,1,0.05,Benign,None,Benign,0
26,UE_1,tcp,146.1,-44.1,48.3,3.1,3.1,80,28,52,57080,6692,50388,239,969,25.81,9.03,16.77,147303.23,64,64,65535,65535,0.0263,0.0132,0.0132,321,1,0.05,Benign,None,Benign,0
2187,UE_5,tcp,309,-53.26,40.39,7.986,7.986,755,93,662,972472,5952,966520,64,1460,94.54,11.65,82.9,974176.81,64,64,262144,262144,0.0224,0.0112,0.0112,296,0,0,Benign,None,Benign,0
